Gene	Haploinsufficiency_Score	Triplosensitivity_Score	Haploinsufficiency_Description	Triplosensitivity_Description	Haploinsufficiency_DiseaseID	Triplosensitivity_DiseaseID
MITF	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008671	NA
PAX3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008670	NA
VHL	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008667	NA
TBX1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0008644	NA
TRPS1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008596	NA
GFI1B	0	0	No evidence available	No evidence available	MONDO:0008553	NA
ENG	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008535	NA
NOG	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008519	NA
HOXD13	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008513	NA
ELN	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008504	NA
SPAST	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008438	NA
RAI1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008434	NA
TBX3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008411	NA
KCNQ1OT1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0008394	NA
CREBBP	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008393	NA
RB1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008380	NA
NR3C2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008329	NA
MNX1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008305	NA
HMBS	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008294	NA
GLI3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008287	NA
STK11	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008280	NA
SMAD4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008278	NA
PRKCSH	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008265	NA
PKD1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008263	NA
KIT	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008244	NA
PEPD	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008221	NA
TFAP2B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008209	NA
MSX2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0008197	NA
SPINK1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008185	NA
LEMD3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008157	NA
COL1A1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008146	NA
MYCN	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008115	NA
LMX1B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008061	NA
SGCE	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008044	NA
SIX3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007999	NA
CDKN2A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007964	NA
FBN1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007947	NA
TCOF1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007944	NA
SF3B4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007943	NA
FOXC2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007922	NA
KIF11	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007918	NA
FH	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007888	NA
FGF10	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007872	NA
AAGAB	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007858	NA
ANKRD11	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007846	NA
FGFR1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007844	NA
KMT2D	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007843	NA
TBX4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007841	NA
GATA3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007797	NA
CDC73	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007768	NA
LDLR	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007750	NA
CA12	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0007747	NA
TGIF1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007734	NA
SHH	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007733	NA
TBX5	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007732	NA
RET	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007723	NA
GLMN	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007672	NA
HNF1B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007669	NA
IMMP2L	40	0	Dosage sensitivity unlikely	No evidence available	MONDO:0007661	NA
CDH1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007648	NA
ARID1B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007617	NA
FZD4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007589	NA
EXT2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007586	NA
EXT1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007585	NA
TGFBR1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007566	NA
MEN1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007540	NA
CDKN1C	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007534	NA
GCH1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007495	NA
SMOC2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0007436	NA
PTH1R	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007434	NA
NIPBL	3	1	Sufficient evidence for dosage pathogenicity	Little evidence for dosage pathogenicity	MONDO:0007387	NA
KCNQ2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007365	NA
YAP1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0007355	NA
PAX2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007352	NA
IRF6	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007333	NA
ITGB2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0007293	NA
SOX9	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007251	NA
EYA1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007236	NA
GDF5	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007221	NA
MTAP	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0007205	NA
FOXL2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007201	NA
PTCH1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007187	NA
CACNA1A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007163	NA
COL2A1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007160	NA
MSX1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007129	NA
UBE3A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007113	NA
RPS19	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007110	NA
TTR	0	0	No evidence available	No evidence available	MONDO:0007100	NA
ADSL	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0007068	NA
TWIST1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007042	NA
NF2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007039	NA
HFE	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0006507	NA
MLH1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005835	NA
MSH2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005835	NA
MSH6	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005835	NA
ZFPM2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0005711	NA
IRF2BPL	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0005559	NA
PRKD1	0	Not yet evaluated	No evidence available	Not yet evaluated	MONDO:0005453	NA
VEGFA	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0005453	NA
DEPDC5	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005384	NA
NPRL3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005384	NA
TMEM216	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0005308	NA
TBX20	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0005267	NA
DSCAM	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0005258	NA
PHF3	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0005258	NA
RIMS1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0005258	NA
TMLHE	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0005258	NA
UBN2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0005258	NA
SETD1A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005090	NA
TAF13	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0005090	NA
PIGA	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0005047	NA
MYBPC3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005045	NA
MYL3	0	0	No evidence available	No evidence available	MONDO:0005045	NA
TNNI3	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0005045	NA
BAG3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005021	NA
DSP	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005021	NA
FLNC	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005021	NA
LMNA	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005021	NA
TTN	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0005021	NA
KCNH2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0002442	NA
KCNQ1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0002442	NA
SLC37A4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0002413	NA
DMRT1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0002145	NA
TSC1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0001734	NA
TSC2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0001734	NA
IDUA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0001586	NA
AKT3	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0001149	NA
CELF4	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0001071	NA
KDM5B	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0001071	NA
SET	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0001071	NA
TUSC3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0001071	NA
CLCNKA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0000909	NA
TUBB2B	0	0	No evidence available	No evidence available	MONDO:0000904	NA
PLN	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0000591	NA
RAG1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0000572	NA
ACTB	0	0	No evidence available	No evidence available	MONDO:0000508	NA
ANKRD17	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
BPTF	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
CDK13	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
CSNK2A1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
CTCF	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
KDM6B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
KMT2C	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
MED13L	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
MEIS2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
NAA15	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
NSD2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
PPM1D	0	0	No evidence available	No evidence available	MONDO:0000508	NA
PUF60	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
QRICH1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
TAOK1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0000508	NA
TRMT10A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0000208	NA
SLC25A19	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0000152	NA
NAF1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0000148	NA
CITED2	0	0	No evidence available	No evidence available	MONDO:0000119	NA
A4GALT	30	0	Gene associated with autosomal recessive phenotype	No evidence available	NA	NA
AARS1	0	0	No evidence available	No evidence available	NA	NA
ABR	0	0	No evidence available	No evidence available	NA	NA
ABRAXAS1	0	0	No evidence available	No evidence available	NA	NA
ACD	0	0	No evidence available	No evidence available	NA	NA
AGAP2	0	0	No evidence available	No evidence available	NA	NA
AGO4	0	0	No evidence available	No evidence available	NA	NA
AKT1	0	0	No evidence available	No evidence available	NA	NA
AKT2	0	0	No evidence available	No evidence available	NA	NA
ALK	0	0	No evidence available	No evidence available	NA	NA
ANKH	0	0	No evidence available	No evidence available	NA	NA
ARHGAP11B	0	0	No evidence available	No evidence available	NA	NA
ARHGAP31	0	0	No evidence available	No evidence available	NA	NA
ARHGEF4	0	0	No evidence available	No evidence available	NA	NA
ARHGEF6	0	0	No evidence available	No evidence available	NA	NA
ARSD	0	0	No evidence available	No evidence available	NA	NA
ASXL2	0	0	No evidence available	No evidence available	NA	NA
ATP10A	0	0	No evidence available	No evidence available	NA	NA
ATP2C2	0	0	No evidence available	No evidence available	NA	NA
ATP6AP2	0	0	No evidence available	No evidence available	NA	NA
ATP6V1E1	0	0	No evidence available	No evidence available	NA	NA
BCL2L11	0	0	No evidence available	No evidence available	NA	NA
BCLAF1	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
BCR	0	0	No evidence available	No evidence available	NA	NA
BPHL	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
BPY2	0	0	No evidence available	No evidence available	NA	NA
CACNA1C	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
CADPS2	0	0	No evidence available	No evidence available	NA	NA
CALM1	0	0	No evidence available	No evidence available	NA	NA
CALM3	0	0	No evidence available	No evidence available	NA	NA
CARD14	0	0	No evidence available	No evidence available	NA	NA
CASP10	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
CASZ1	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
CATSPER2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	NA	NA
CBFB	0	0	No evidence available	No evidence available	NA	NA
CBY2	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
CDY1	0	0	No evidence available	No evidence available	NA	NA
CENPP	0	0	No evidence available	No evidence available	NA	NA
CERT1	0	0	No evidence available	No evidence available	NA	NA
CFC1	0	0	No evidence available	No evidence available	NA	NA
CHD1L	0	0	No evidence available	No evidence available	NA	NA
CHEK1	0	0	No evidence available	No evidence available	NA	NA
CHL1	0	0	No evidence available	No evidence available	NA	NA
CHMP7	0	0	No evidence available	No evidence available	NA	NA
CHRM3	0	0	No evidence available	No evidence available	NA	NA
CHRNA7	0	0	No evidence available	No evidence available	NA	NA
CLASP1	0	0	No evidence available	No evidence available	NA	NA
CLNK	0	0	No evidence available	No evidence available	NA	NA
CNOT3	0	0	No evidence available	No evidence available	NA	NA
CNTN6	0	0	No evidence available	No evidence available	NA	NA
CNTNAP2	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
CNTNAP5	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
COL16A1	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
COL1A2	0	0	No evidence available	No evidence available	NA	NA
COL6A5	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
COL7A1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	NA	NA
COL9A2	0	0	No evidence available	No evidence available	NA	NA
CPA4	0	0	No evidence available	No evidence available	NA	NA
CPA6	0	0	No evidence available	No evidence available	NA	NA
CRHR1	0	0	No evidence available	No evidence available	NA	NA
CRKL	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
CRYBA1	0	0	No evidence available	No evidence available	NA	NA
CRYBB2	0	0	No evidence available	No evidence available	NA	NA
CRYGC	0	0	No evidence available	No evidence available	NA	NA
CTSB	0	0	No evidence available	No evidence available	NA	NA
CYP3A43	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
DAZ1	0	0	No evidence available	No evidence available	NA	NA
DCHS1	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
DHX57	0	0	No evidence available	No evidence available	NA	NA
DIRAS3	0	0	No evidence available	No evidence available	NA	NA
DISC1	0	0	No evidence available	No evidence available	NA	NA
DISP1	0	0	No evidence available	No evidence available	NA	NA
DLGAP2	0	0	No evidence available	No evidence available	NA	NA
DLK1	0	0	No evidence available	No evidence available	NA	NA
DLX1	0	0	No evidence available	No evidence available	NA	NA
DLX2	0	0	No evidence available	No evidence available	NA	NA
DMRT2	0	0	No evidence available	No evidence available	NA	NA
DMXL2	0	0	No evidence available	No evidence available	NA	NA
DNAJB6	0	0	No evidence available	No evidence available	NA	NA
DNAJC28	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
DNASE1	0	0	No evidence available	No evidence available	NA	NA
DRD5	0	0	No evidence available	No evidence available	NA	NA
DSPP	0	0	No evidence available	No evidence available	NA	NA
EFCAB13	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
EGFR	0	0	No evidence available	No evidence available	NA	NA
EGR2	0	0	No evidence available	No evidence available	NA	NA
ELK1	0	0	No evidence available	No evidence available	NA	NA
ELOA3	0	0	No evidence available	No evidence available	NA	NA
EN2	0	0	No evidence available	No evidence available	NA	NA
ERCC4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	NA	NA
EVX2	0	0	No evidence available	No evidence available	NA	NA
EXO5	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
FANCL	30	0	Gene associated with autosomal recessive phenotype	No evidence available	NA	NA
FANCM	30	0	Gene associated with autosomal recessive phenotype	No evidence available	NA	NA
FBN2	0	0	No evidence available	No evidence available	NA	NA
FBXW11	0	1	No evidence available	Little evidence for dosage pathogenicity	NA	NA
FGFR3	0	0	No evidence available	No evidence available	NA	NA
FGFRL1	0	0	No evidence available	No evidence available	NA	NA
FHIT	0	0	No evidence available	No evidence available	NA	NA
FLNB	0	0	No evidence available	No evidence available	NA	NA
FMO2	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
FOXE3	0	0	No evidence available	No evidence available	NA	NA
FTL	0	0	No evidence available	No evidence available	NA	NA
GAB4	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
GABRB3	0	0	No evidence available	No evidence available	NA	NA
GABRG2	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
GALR1	0	0	No evidence available	No evidence available	NA	NA
GATA1	0	0	No evidence available	No evidence available	NA	NA
GDF2	0	0	No evidence available	No evidence available	NA	NA
GEN1	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
GFI1	0	0	No evidence available	No evidence available	NA	NA
GJA1	0	0	No evidence available	No evidence available	NA	NA
GJA5	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
GJA8	0	0	No evidence available	No evidence available	NA	NA
GJB2	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
GJB6	0	0	No evidence available	No evidence available	NA	NA
GNAI3	0	0	No evidence available	No evidence available	NA	NA
GOLGA2P2Y	0	0	No evidence available	No evidence available	NA	NA
GPC5	0	0	No evidence available	No evidence available	NA	NA
GPR148	0	0	No evidence available	No evidence available	NA	NA
GRB10	0	0	No evidence available	No evidence available	NA	NA
GREM1	0	0	No evidence available	No evidence available	NA	NA
GRID1	0	0	No evidence available	No evidence available	NA	NA
GRIN3B	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
GSDMD	0	0	No evidence available	No evidence available	NA	NA
GTF2I	0	0	No evidence available	No evidence available	NA	NA
GTF2IRD1	0	0	No evidence available	No evidence available	NA	NA
GTF2IRD2	0	0	No evidence available	No evidence available	NA	NA
GUCA1C	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
GUCY2C	0	0	No evidence available	No evidence available	NA	NA
H19	0	0	No evidence available	No evidence available	NA	NA
HIRA	0	0	No evidence available	No evidence available	NA	NA
HOXD9	0	0	No evidence available	No evidence available	NA	NA
HRAS	0	0	No evidence available	No evidence available	NA	NA
HSD17B10	0	0	No evidence available	No evidence available	NA	NA
HSD17B13	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
HTN3	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
HYMAI	0	0	No evidence available	No evidence available	NA	NA
IGF2	0	0	No evidence available	No evidence available	NA	NA
IGF2R	0	0	No evidence available	No evidence available	NA	NA
IMPA1	0	0	No evidence available	No evidence available	NA	NA
INS	0	0	No evidence available	No evidence available	NA	NA
ITGB3	0	0	No evidence available	No evidence available	NA	NA
KANK1	0	0	No evidence available	No evidence available	NA	NA
KCNJ6	0	0	No evidence available	No evidence available	NA	NA
KIF1A	0	0	No evidence available	No evidence available	NA	NA
KLF14	0	0	No evidence available	No evidence available	NA	NA
KLF8	0	0	No evidence available	No evidence available	NA	NA
KLK12	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
KRT24	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
KRT37	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
L3MBTL1	0	0	No evidence available	No evidence available	NA	NA
LIMK1	0	0	No evidence available	No evidence available	NA	NA
LITAF	0	0	No evidence available	No evidence available	NA	NA
LMTK3	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
LSS	0	0	No evidence available	No evidence available	NA	NA
MAD2L2	0	0	No evidence available	No evidence available	NA	NA
MAFB	0	0	No evidence available	No evidence available	NA	NA
MAGEL2	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
MAP2K1	0	0	No evidence available	No evidence available	NA	NA
MAP3K1	0	0	No evidence available	No evidence available	NA	NA
MAPT	0	0	No evidence available	No evidence available	NA	NA
MATN3	0	0	No evidence available	No evidence available	NA	NA
MED12	0	0	No evidence available	No evidence available	NA	NA
MEFV	0	0	No evidence available	No evidence available	NA	NA
MEST	0	0	No evidence available	No evidence available	NA	NA
MET	0	0	No evidence available	No evidence available	NA	NA
MFHAS1	0	0	No evidence available	No evidence available	NA	NA
MFN2	0	0	No evidence available	No evidence available	NA	NA
MID2	0	0	No evidence available	No evidence available	NA	NA
MOV10	0	0	No evidence available	No evidence available	NA	NA
MRE11	30	0	Gene associated with autosomal recessive phenotype	No evidence available	NA	NA
MYH7	0	0	No evidence available	No evidence available	NA	NA
NAALADL2	0	0	No evidence available	No evidence available	NA	NA
NDN	0	0	No evidence available	No evidence available	NA	NA
NDUFA1	0	0	No evidence available	No evidence available	NA	NA
NEBL	0	0	No evidence available	No evidence available	NA	NA
NEFL	0	0	No evidence available	No evidence available	NA	NA
NELFA	0	0	No evidence available	No evidence available	NA	NA
NIPA1	0	0	No evidence available	No evidence available	NA	NA
NIPA2	0	0	No evidence available	No evidence available	NA	NA
NLGN1	0	0	No evidence available	No evidence available	NA	NA
NLGN3	0	0	No evidence available	No evidence available	NA	NA
NNAT	0	0	No evidence available	No evidence available	NA	NA
NODAL	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
NOP10	0	0	No evidence available	No evidence available	NA	NA
NPTX2	0	0	No evidence available	No evidence available	NA	NA
NR2F2	0	0	No evidence available	No evidence available	NA	NA
NRG3	0	0	No evidence available	No evidence available	NA	NA
NTAN1	0	0	No evidence available	No evidence available	NA	NA
NUDT13	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
NXF5	0	0	No evidence available	No evidence available	NA	NA
OR5AU1	0	0	No evidence available	No evidence available	NA	NA
OSBPL5	0	0	No evidence available	No evidence available	NA	NA
OTUD7A	0	0	No evidence available	No evidence available	NA	NA
PACS1	0	0	No evidence available	No evidence available	NA	NA
PAK2	1	1	Little evidence for dosage pathogenicity	Little evidence for dosage pathogenicity	NA	NA
PALLD	0	Not yet evaluated	No evidence available	Not yet evaluated	NA	NA
PBX1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	NA	NA
PCDH19	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	NA	NA
PCDH9	0	0	No evidence available	No evidence available	NA	NA
PCDHGA8	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
PDE4D	0	0	No evidence available	No evidence available	NA	NA
PDGFRA	0	0	No evidence available	No evidence available	NA	NA
PEG10	0	0	No evidence available	No evidence available	NA	NA
PEG3	0	0	No evidence available	No evidence available	NA	NA
PHF2	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
PHLDA2	0	0	No evidence available	No evidence available	NA	NA
PIK3CA	0	0	No evidence available	No evidence available	NA	NA
PIK3R2	0	0	No evidence available	No evidence available	NA	NA
PITPNA	0	0	No evidence available	No evidence available	NA	NA
PITX3	0	0	No evidence available	No evidence available	NA	NA
PLAGL1	0	0	No evidence available	No evidence available	NA	NA
POLD1	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
POLE	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
PPP1CB	0	0	No evidence available	No evidence available	NA	NA
PPP1R9A	0	0	No evidence available	No evidence available	NA	NA
PPP2R1A	0	0	No evidence available	No evidence available	NA	NA
PRDM6	0	0	No evidence available	No evidence available	NA	NA
PRF1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	NA	NA
PRKAR1A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	NA	NA
PSD3	0	0	No evidence available	No evidence available	NA	NA
PSORS1C2	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
RABL2A	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
RAD50	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
