Gene	Haploinsufficiency_Score	Triplosensitivity_Score	Haploinsufficiency_Description	Triplosensitivity_Description	Haploinsufficiency_DiseaseID	Triplosensitivity_DiseaseID
IFT140	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009964	NA
PHYH	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009958	NA
SLC35C1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009953	NA
PC	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009949	NA
FOXF1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0009934	NA
SLC34A2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009928	NA
COLEC11	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009927	NA
SRD5A2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009923	NA
HSD17B3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009916	NA
SLC12A3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009904	NA
DHODH	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009903	NA
UROS	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009902	NA
RIPK4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009901	NA
NEK1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009894	NA
LHX4	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0009880	NA
PROP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009878	NA
BCS1L	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009872	NA
PHKB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009868	NA
PTS	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009863	NA
QDPR	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009862	NA
PAH	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009861	NA
AMH	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009857	NA
DCXR	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009846	NA
AIMP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009843	NA
EFL1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009833	NA
SBDS	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009833	NA
FBXO7	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009830	NA
GRHPR	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009824	NA
AGXT	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009823	NA
FAM20C	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009821	NA
OSTM1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009817	NA
TCIRG1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009815	NA
PPIB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009805	NA
OAT	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009796	NA
GPC6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009779	NA
BUB1B	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009759	NA
GRM6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009758	NA
NPC1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009757	NA
GAN	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009749	NA
CCT5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009748	NA
PPT1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009744	NA
SPINK5	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009735	NA
ABCC8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009734	NA
NPHS1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009732	NA
COX10	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009723	NA
FARS2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009723	NA
FOXRED1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009723	NA
NDUFA10	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009723	NA
NDUFAF2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009723	NA
