Phenotype	Gene
Cataract with late-onset corneal dystrophy 	PAX6, AN2, MGDA, FVH1, ASGD5
Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia 	IARS2, CAGSSS
Cataracts, spastic paraparesis, and speech delay 	FAR1, MLSTD2, PFCRD, CSPSD
Cenani-Lenz syndactyly syndrome 	LRP4, MEGF7, CLSS, SOST2, CMS17
Central core disease 	RYR1, MHS, CCO, KDS
Centronuclear myopathy 1 	DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5
Centronuclear myopathy 2 	BIN1, AMPHL, CNM2
Centronuclear myopathy 5 	SPEG, APEG1, CNM5
Cerebellar ataxia and hypogonadotropic hypogonadism 	RNF216, TRIAD3, ZIN, CAHH
Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3 	CA8, CALS, CARP, CAMRQ3
Cerebellar ataxia 	CP
Cerebellar ataxia, brain abnormalities, and cardiac conduction defects 	EXOSC5, RRP46, CABAC
Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant 	DNMT1, MCMT, HSN1E, ADCADN
Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2 	WDR81, CAMRQ2, HYC3
Cerebellar ataxia, neuropathy, and vestibular areflexia syndrome 	RFC1, RECC1, CANVAS
Cerebellar atrophy with seizures and variable developmental delay 	CACNA2D2, KIAA0558, CASVDD
Cerebellar atrophy, developmental delay, and seizures 	KCNMA1, SLO, PNKD3, CADEDS, IEG16, LIWAS
Cerebellar dysfunction with variable cognitive and behavioral abnormalities 	CAMTA1, KIAA0833, CECBA
Cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1 	VLDLR, CAMRQ1
Cerebral amyloid angiopathy 	CST3, ARMD11
Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants 	APP, AAA, CVAP, AD1
Cerebral amyloid angiopathy, PRNP-related 	PRNP, PRIP, KURU, CJD
Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy 1 	NOTCH3, CADASIL1, CASIL, IMF2, LMNS
Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2 	HTRA1, PRSS11, ARMD7, CARASIL, CADASIL2
Cerebral creatine deficiency syndrome 2 	GAMT, CCDS2
Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome 	SNAP29, CEDNIK
Cerebrooculofacioskeletal syndrome 1 	ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, POF11
Cerebrooculofacioskeletal syndrome 3 	ERCC5, XPG, COFS3
Cerebrotendinous xanthomatosis 	CYP27A1, CYP27, CTX
Ceroid lipofuscinosis, neuronal, 11 	GRN, CLN11
Ceroid lipofuscinosis, neuronal, 2 	TPP1, CLN2, SCAR7
Ceroid lipofuscinosis, neuronal, 3 	CLN3, BTS
Ceroid lipofuscinosis, neuronal, 5 	CLN5
Ceroid lipofuscinosis, neuronal, 6A 	CLN6, CLN6A
Cervical cancer, somatic 	FGFR3, ACH
Chanarin-Dorfman syndrome 	ABHD5, CGI58, IECN2, NCIE2
Charcot-Marie-Tooth disease, X-linked recessive, 5 	PRPS1, CMTX5, DFNX1, DFN2
Charcot-Marie-Tooth disease, axonal type 2M 	DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5
Charcot-Marie-Tooth disease, axonal, type 2A2A 	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B
Charcot-Marie-Tooth disease, axonal, type 2A2B 	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B
Charcot-Marie-Tooth disease, axonal, type 2CC 	NEFH, CMT2CC
Charcot-Marie-Tooth disease, axonal, type 2DD 	ATP1A1, CMT2DD, HOMGSMR2
Charcot-Marie-Tooth disease, axonal, type 2EE 	MPV17, MTDPS6, CMT2EE
Charcot-Marie-Tooth disease, axonal, type 2F 	HSPB1, HSP27, CMT2F, HMN2B
Charcot-Marie-Tooth disease, axonal, type 2FF 	CADM3, IGSF4B, TSLL1, NECL1, SYNCAM3, CMT2FF
Charcot-Marie-Tooth disease, axonal, type 2GG 	GBF1, CMT2GG
Charcot-Marie-Tooth disease, axonal, type 2HH 	JAG1, AGS1, AHD, DCHE, CMT2HH
Charcot-Marie-Tooth disease, axonal, type 2K 	GDAP1, CMT4A, CMT2K, CMTRIA
Charcot-Marie-Tooth disease, axonal, type 2L 	HSPB8, H11, E2IG1, DHMN2, CMT2L, HMN2A
Charcot-Marie-Tooth disease, axonal, type 2N 	AARS1, AARS, CMT2N, DEE29, HDLS2, TTD8
Charcot-Marie-Tooth disease, axonal, type 2O 	DYNC1H1, DNCL, DNECL, CMT2O, MRD13, SMALED1
Charcot-Marie-Tooth disease, axonal, type 2P 	LRSAM1, TAL, RIFLE, CMT2P
Charcot-Marie-Tooth disease, axonal, type 2S 	IGHMBP2, SMUBP2, CATF1, SMARD1, HMN6, CMT2S
Charcot-Marie-Tooth disease, axonal, type 2T 	MME, CD10, CALLA, NEP, CMT2T, SCA43
Charcot-Marie-Tooth disease, axonal, type 2U 	MARS1, MARS, MTRNS, METRS, ILLD, CMT2U, TTD9
Charcot-Marie-Tooth disease, axonal, type 2W 	HARS1, HARS, USH3B, CMT2W
Charcot-Marie-Tooth disease, axonal, type 2X 	SPG11, KIAA1840, FLJ21439, ALS5, CMT2X
Charcot-Marie-Tooth disease, axonal, type 2Z 	MORC2, ZCW3, ZCWCC1, KIAA0852, CMT2Z, DIGFAN
Charcot-Marie-Tooth disease, axonal, with vocal cord paresis 	GDAP1, CMT4A, CMT2K, CMTRIA
Charcot-Marie-Tooth disease, demyelinating, type 1G 	PMP2, CMT1G
Charcot-Marie-Tooth disease, demyelinating, type 1H 	FBLN5, ARMD3, ADCL2, ARCL1A, HNARMD, CMT1H
Charcot-Marie-Tooth disease, demyelinating, type 1I 	POLR3B, RPC2, C128, HLD8, CMT1I
Charcot-Marie-Tooth disease, dominant intermediate B 	DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5
Charcot-Marie-Tooth disease, dominant intermediate C 	YARS1, YARS, CMTDIC, TYRRS, YTS, YRS, IMNEPD2
Charcot-Marie-Tooth disease, dominant intermediate D 	MPZ, CMT1B, CMTDID, DSS, CHN2
Charcot-Marie-Tooth disease, dominant intermediate E 	INF2, FSGS5, C14orf173, CMTDIE
Charcot-Marie-Tooth disease, dominant intermediate F 	GNB4, CMTD1F
Charcot-Marie-Tooth disease, dominant intermediate G 	NEFL, CMT2E, CMT1F, CMTDIG
Charcot-Marie-Tooth disease, recessive intermediate C 	PLEKHG5, KIAA0720, DSMA4, CMTRIC
Charcot-Marie-Tooth disease, recessive intermediate D 	COX6A1, CMTRID
Charcot-Marie-Tooth disease, recessive intermediate, A 	GDAP1, CMT4A, CMT2K, CMTRIA
Charcot-Marie-Tooth disease, type 1A 	PMP22, CMT1A, CMT1E, DSS, CIDP
Charcot-Marie-Tooth disease, type 1B 	MPZ, CMT1B, CMTDID, DSS, CHN2
Charcot-Marie-Tooth disease, type 1C 	LITAF, CMT1C
Charcot-Marie-Tooth disease, type 1D 	EGR2, KROX20, CHN1
Charcot-Marie-Tooth disease, type 1E 	PMP22, CMT1A, CMT1E, DSS, CIDP
Charcot-Marie-Tooth disease, type 1F 	NEFL, CMT2E, CMT1F, CMTDIG
Charcot-Marie-Tooth disease, type 2B1 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Charcot-Marie-Tooth disease, type 2D 	GARS1, GARS, SMAD1, CMT2D, HMN5A, SMAJI
Charcot-Marie-Tooth disease, type 2E 	NEFL, CMT2E, CMT1F, CMTDIG
Charcot-Marie-Tooth disease, type 2I 	MPZ, CMT1B, CMTDID, DSS, CHN2
Charcot-Marie-Tooth disease, type 2J 	MPZ, CMT1B, CMTDID, DSS, CHN2
Charcot-Marie-Tooth disease, type 2R 	TRIM2, KIAA0517, CMT2R
Charcot-Marie-Tooth disease, type 2Y 	VCP, IBMPFD1, CMT2Y, FTDALS6
Charcot-Marie-Tooth disease, type 4A 	GDAP1, CMT4A, CMT2K, CMTRIA
Charcot-Marie-Tooth disease, type 4B1 	MTMR2, CMT4B1
Charcot-Marie-Tooth disease, type 4B2 	SBF2, MTMR13, CMT4B2
Charcot-Marie-Tooth disease, type 4B3 	SBF1, MTMR5, CMT4B3
Charcot-Marie-Tooth disease, type 4C 	SH3TC2, KIAA1985, MNMN
Charcot-Marie-Tooth disease, type 4D 	NDRG1, HMSNL, CMT4D
Charcot-Marie-Tooth disease, type 4F 	PRX, CMT4F
Charcot-Marie-Tooth disease, type 4H 	FGD4, FRABIN, CMT4H
Charcot-Marie-Tooth disease, type 4J 	FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP
Charcot-Marie-Tooth disease, type 4K 	SURF1, CMT4K, MC4DN1
Charcot-Marie-Tooth neuropathy, X-linked dominant, 1 	GJB1, CX32, CMTX1
Chediak-Higashi syndrome 	LYST, CHS1
Chilblain lupus 	TREX1, AGS1, CRV, HERNS, RVCLS
Chondrodysplasia punctata, X-linked dominant 	EBP, CDPX2, CPXD, CPX, MEND
Chondrosarcoma, extraskeletal myxoid 	TAF15, TAF2N, RBP56
Chorea, hereditary benign 	NKX2-1, TITF1, NKX2A, TTF1, NMTC1
Choreoacanthocytosis 	VPS13A, CHAC
Choreoathetosis, hypothyroidism, and neonatal respiratory distress 	NKX2-1, TITF1, NKX2A, TTF1, NMTC1
Choroidal dystrophy, central areolar 2 	PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1
Chronic atrial and intestinal dysrhythmia 	SGOL1, SGO, SGO1, CAID
Ciliary dyskinesia, primary, 2 	DNAAF3, PF22, DAB1, CILD2
Cockayne syndrome, type A 	ERCC8, CKN1, CSA, UVSS2
Cockayne syndrome, type B 	ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, POF11
Coenzyme Q10 deficiency, primary, 7 	COQ4, COQ10D7
Cognitive impairment with or without cerebellar ataxia 	SCN8A, CIAT, DEE13, BFIS5, MYOCL2
Cold-induced sweating syndrome 1 	CRLF1, CISS1
Colorectal cancer, hereditary nonpolyposis, type 6 	TGFBR2, HNPCC6, AAT3, MFS2, LDS2
Colorectal cancer, somatic 	FGFR3, ACH
Combined D-2- and L-2-hydroxyglutaric aciduria 	SLC25A1, SLC20A3, CTP, D2L2AD, CMS23
Combined SAP deficiency 	PSAP, SAP1, PSAPD, PARK24
Combined oxidative phosphorylation deficiency 11 	RMND1, COXPD11
Combined oxidative phosphorylation deficiency 13 	PNPT1, OLD35, COXPD13, DFNB70
Combined oxidative phosphorylation deficiency 14 	FARS2, FARS1, COXPD14, SPG77
Combined oxidative phosphorylation deficiency 15 	MTFMT, COXPD15, MC1DN27
Combined oxidative phosphorylation deficiency 3 	TSFM, COXPD3
Combined oxidative phosphorylation deficiency 33 	C1QBP, HABP1, COXPD33
Combined oxidative phosphorylation deficiency 44 	FASTKD2, KIAA0971, COXPD44
Combined oxidative phosphorylation deficiency 6 	AIFM1, PDCD8, AIF, COXPD6, COWCK, CMTX4, DFNX5, SEMDHL
Combined oxidative phosphorylation deficiency 7 	MTRFR, C12orf65, COXPD7, SPG55
Combined oxidative phosphorylation deficiency 8 	AARS2, KIAA1270, MTALARS, COXPD8, LKENP
Congenital anomalies of kidney and urinary tract 1 	DSTYK, KIAA0472, RIP5, DUSTYPK, CAKUT1, SPG23
Congenital arthrogryposis with anterior horn cell disease 	GLE1, GLE1L, LCCS, LCCS1, CAAHD
Congenital cataracts, facial dysmorphism, and neuropathy 	CTDP1, FCP1, CCFDN
Congenital contractures of the limbs and face, hypotonia, and developmental delay 	NALCN, IHPRF1, CLIFAHDD
Congenital disorder of deglycosylation 1 	NGLY1, PNG1, CDDG, CDG1V
Congenital disorder of glycosylation, type IIr 	ATP6AP2, ATP6M8-9, XMRE, MRXSH, XPDS, CDG2R
Congenital disorder of glycosylation, type Ia 	PMM2, CDG1A
Congenital disorder of glycosylation, type Id 	ALG3, NOT56L, CDGS4, CDG1D
Congenital disorder of glycosylation, type Ie 	DPM1, MPDS, CDGIE
Congenital disorder of glycosylation, type If 	MPDU1, SL15, CDGIF
Congenital disorder of glycosylation, type Ii 	ALG2, CDGII, CMSTA3, CMS14
Congenital disorder of glycosylation, type Ij 	DPAGT1, DPAGT2, DGPT, CDG1J, CMSTA2, CMS13
Congenital disorder of glycosylation, type Im 	DOLK, TMEM15, DK1, SEC59, KIAA1094, CDG1M
Congenital disorder of glycosylation, type Iq 	SRD5A3, SRD5A2L, CDG1Q, KRIZI
Congenital disorder of glycosylation, type It 	PGM1, GSD14, CDG1T
Congenital disorder of glycosylation, type Iu 	DPM2, CDG1U
Congenital hypotonia, epilepsy, developmental delay, and digital anomalies 	ATN1, DRPLA, HRS, NOD, CHEDDA
Congenital myopathy with excess of muscle spindles 	HRAS
Congenital short bowel syndrome 	FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, FGS2
Congenital short bowel syndrome 	CLMP, ASAM, ACAM, CSBS
Contractural arachnodactyly, congenital 	FBN2, CCA, EOMD
Contractures, pterygia, and spondylocarpostarsal fusion syndrome 1A 	MYH3, DA2A, DA2B3, DA8, CPSFS1A, CPSFS1B
Contractures, pterygia, and spondylocarpotarsal fusion syndrome 1B 	MYH3, DA2A, DA2B3, DA8, CPSFS1A, CPSFS1B
Convulsions, familial infantile, with paroxysmal choreoathetosis 	PRRT2, PKC, DYT10, EKD1, BFIS2, BFIC2, ICCA
Coproporphyria 	CPOX, HARPO
Corneal dystrophy, punctiform adn polychromatic pre-Descemet 	PRDX3, AOP1, SCAR32, PPPCD
Cornelia de Lange syndrome 4 	RAD21, SCC1, NXP1, KIAA0078, CDLS4, MGS
Corpus callosum, partial agenesis of 	L1CAM, CAML1, HSAS1, MASA, SPG1
Cortical dysplasia, complex, with other brain malformations 1 	TUBB3, TUBB4, CFEOM3A, CDCBM1
Cortical dysplasia, complex, with other brain malformations 2 	KIF5C, NKHC2, CDCBM2
Costello syndrome 	HRAS
Cowchock syndrome 	AIFM1, PDCD8, AIF, COXPD6, COWCK, CMTX4, DFNX5, SEMDHL
Craniofacial-skeletal-dermatologic dysplasia 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Craniometaphyseal dysplasia, autosomal recessive 	GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP3
Craniosynostosis, nonspecific 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Creatine phosphokinase, elevated serum 	CAV3, LQT9, MPDT, RMD2
Creutzfeldt-Jakob disease 	PRNP, PRIP, KURU, CJD
Crouzon syndrome with acanthosis nigricans 	FGFR3, ACH
Crouzon syndrome 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Cutis laxa, autosomal dominant 3 	ALDH18A1, PYCS, GSAS, ARCL3A, SPG9A, SPG9B, ADCL3
Cutis laxa, autosomal recessive, type IA 	FBLN5, ARMD3, ADCL2, ARCL1A, HNARMD, CMT1H
Cutis laxa, autosomal recessive, type IID 	ATP6V1A, HO68, ARCL2D, DEE93
Cutis laxa, autosomal recessive, type IIIA 	ALDH18A1, PYCS, GSAS, ARCL3A, SPG9A, SPG9B, ADCL3
Cylindromatosis, familial 	CYLD, CDMT, EAC, MFT1, KIAA0849, BRSS, FTDALS8
DOORS syndrome 	TBC1D24, KIAA1171, FIME, DEE16, DOORS, DFNB86, DFNA65, EPRPDC
Danon disease 	LAMP2, LAMPB, LGP110, DND
Deafness, X-linked 1 	PRPS1, CMTX5, DFNX1, DFN2
Deafness, X-linked 4 	SMPX, DFNX4, MPD7
Deafness, X-linked 5 	AIFM1, PDCD8, AIF, COXPD6, COWCK, CMTX4, DFNX5, SEMDHL
Deafness, autosomal dominant 4A 	MYH14, KIAA2034, DFNA4A, PNMHH
Deafness, autosomal dominant 6/14/38 	WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41
Deafness, autosomal dominant 65 	TBC1D24, KIAA1171, FIME, DEE16, DOORS, DFNB86, DFNA65, EPRPDC
Deafness, autosomal dominant 82 	ATP2B2, PMCA2, DFNA82
Deafness, autosomal recessive 70 	PNPT1, OLD35, COXPD13, DFNB70
Deafness, autosomal recessive 86 	TBC1D24, KIAA1171, FIME, DEE16, DOORS, DFNB86, DFNA65, EPRPDC
Deafness, autosomal recessive 89 	KARS1, KARS, CMTRIB, DFNB89, LEPID, DEAPLE
Deafness, congenital, and adult-onset progressive leukoencephalopathy 	KARS1, KARS, CMTRIB, DFNB89, LEPID, DEAPLE
Deafness, dystonia, and cerebral hypomyelination 	BCAP31, BAP31, DXS1357E, DDCH
Dejerine-Sottas disease 	EGR2, KROX20, CHN1
Dejerine-Sottas disease 	MPZ, CMT1B, CMTDID, DSS, CHN2
Dejerine-Sottas disease 	PMP22, CMT1A, CMT1E, DSS, CIDP
Dejerine-Sottas disease 	PRX, CMT4F
Dementia, Lewy body 	SNCA, NACP, PARK1, PARK4
Dementia, familial British 	ITM2B, BRI, ABRI, FBD, RDGCA
Dementia, familial Danish 	ITM2B, BRI, ABRI, FBD, RDGCA
Dementia, frontotemporal 	PSEN1, AD3, ACNINV3
Dementia, frontotemporal, with or without parkinsonism 	MAPT, MTBT1, DDPAC, MSTD
Dentatorubral-pallidoluysian atrophy 	ATN1, DRPLA, HRS, NOD, CHEDDA
Dermatofibrosarcoma protuberans 	PDGFB, SIS, IBGC5
Desmosterolosis 	DHCR24, KIAA0018
Developmental and epileptic encephalopathy 1 	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32
Developmental and epileptic encephalopathy 100 	FBXO28, FBX28, KIAA0483, DEE100
Developmental and epileptic encephalopathy 101 	GRIN1, NMDAR1, NDHMSR, NDHMSD, DEE101
Developmental and epileptic encephalopathy 11 	SCN2A, SCN2A1, BFIC3, DEE11, BFIS3, BFNIS, EA9
Developmental and epileptic encephalopathy 13 	SCN8A, CIAT, DEE13, BFIS5, MYOCL2
Developmental and epileptic encephalopathy 16 	TBC1D24, KIAA1171, FIME, DEE16, DOORS, DFNB86, DFNA65, EPRPDC
Developmental and epileptic encephalopathy 17 	GNAO1, DEE17, NEDIM
Developmental and epileptic encephalopathy 28 	WWOX, FOR, SCAR12, DEE28
Developmental and epileptic encephalopathy 29 	AARS1, AARS, CMT2N, DEE29, HDLS2, TTD8
Developmental and epileptic encephalopathy 32 	KCNA2, DEE32
Developmental and epileptic encephalopathy 37 	FRRS1L, C9orf4, CG6, DEE37
Developmental and epileptic encephalopathy 4 	STXBP1, UNC18, DEE4
Developmental and epileptic encephalopathy 42 	CACNA1A, CACNL1A4, SCA6, DEE42
Developmental and epileptic encephalopathy 43 	GABRB3, ECA5, DEE43
Developmental and epileptic encephalopathy 44 	UBA5, UBE1DC1, DEE44, SCAR24
Developmental and epileptic encephalopathy 5 	SPTAN1, NEAS, DEE5
Developmental and epileptic encephalopathy 50 	CAD, CDG1Z, DEE50
Developmental and epileptic encephalopathy 53 	SYNJ1, PARK20, DEE53
Developmental and epileptic encephalopathy 64 	RHOBTB2, DBC2, KIAA0717, DEE64
Developmental and epileptic encephalopathy 69 	CACNA1E, CACNL1A6, DEE69
Developmental and epileptic encephalopathy 6B, non-Dravet 	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B
Developmental and epileptic encephalopathy 7 	KCNQ2, EBN1, DEE7, BFNS1
Developmental and epileptic encephalopathy 73 	RNF13, DEE73
Developmental and epileptic encephalopathy 91 	PPP3CA, PPP2B, CALNA, CNA1, DEE91, ACCIID
Developmental and epileptic encephalopathy 93 	ATP6V1A, HO68, ARCL2D, DEE93
Developmental and epileptic encephalopathy 95 	PIGS, GPIBD18, DEE95
Developmental and epileptic encephalopathy 98 	ATP1A2, FHM2, MHP2, FARIMPD, DEE98
Developmental and epileptic encephalopathy 99 	ATP1A3, DYT12, RDP, AHC2, CAPOS, DEE99
Developmental delay and seizures with or without movement abnormalities 	DHDDS, HDS, RP59, DEDSM
Developmental delay, impaired growth, dysmorphic facies, and axonal neuropathy 	MORC2, ZCW3, ZCWCC1, KIAA0852, CMT2Z, DIGFAN
Diencephalic-mesencephalic junction dysplasia syndrome 2 	GSX2, GSH2, DMJDS2
Digital arthropathy-brachydactyly, familial 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
Disordered steroidogenesis due to cytochrome P450 oxidoreductase 	POR
Dowling-Degos disease 4 	POGLUT1, CLP46, KTELC1, RUMI, C3orf9, DDD4, LGMDR21
Dravet syndrome 	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B
Duchenne muscular dystrophy 	DMD, BMD, CMD3B
Dysautonomia, familial 	ELP1, IKBKAP, IKAP
Dyschromatosis symmetrica hereditaria 	ADAR, DRADA, DSH, DSRAD, IFI4, G1P1, AGS6
Dyskeratosis congenita, autosomal dominant 3 	TINF2, TIN2, DKCA3
Dyskinesia with orofacial involvement, autosomal dominant 	ADCY5, FDFM, DSKOD
Dyskinesia with orofacial involvement, autosomal recessive 	ADCY5, FDFM, DSKOD
Dyskinesia, limb and orofacial, infantile-onset 	PDE10A, IOLOD, ADSD2
Dyssegmental dysplasia, Silverman-Handmaker type 	HSPG2, PLC, SJS, SJA, SJS1
Dystonia 16 	PRKRA, PACT, RAX, DYT16
Dystonia 2, torsion, autosomal recessive 	HPCA, DYT2
Dystonia 24 	ANO3, TMEM16C, C11orf25, DYT24
Dystonia 25 	GNAL, DYT25
Dystonia 26, myoclonic 	KCTD17
Dystonia 27 	COL6A3, DYT27, BTHLM1, UCMD1
Dystonia 28, childhood-onset 	KMT2B, MLL4, KIAA0304, DYT28
Dystonia 30 	VPS16, DYT30
Dystonia 31 	AOPEP, C9orf3, DYT31
Dystonia 33 	EIF2AK2, PRKR, LEUDEN, DYT33
Dystonia 4, torsion, autosomal dominant 	TUBB4A, DYT4, HLD6
Dystonia 6, torsion 	THAP1, DYT6
Dystonia 9 	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN
Dystonia, DOPA-responsive, with or without hyperphenylalaninemia 	GCH1, DYT5, HPABH4B
Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities 	MECR, NRBF1, DYTOABG
Dystonia, dopa-responsive, due to sepiapterin reductase deficiency 	SPR
Dystonia, early-onset, and/or spastic paraplegia 	ATP5MC3, ATP5G3, DYTSPG
Dystonia-1, torsion 	TOR1A, DYT1, AMC5
Dystonia-11, myoclonic 	SGCE, DYT11
Dystonia-12 	ATP1A3, DYT12, RDP, AHC2, CAPOS, DEE99
Dystonia-Parkinsonism, X-linked 	TAF1, TAF2A, CCG1, BA2R, DYT3, MRXS33
Ehlers-Danlos syndrome, kyphoscoliotic type, 1 	PLOD1, LH1, LLH, EDSKCL1
Ehlers-Danlos syndrome, kyphoscoliotic type, 2 	FKBP14, EDSKSCL2
Ehlers-Danlos syndrome, musculocontractural type 1 	CHST14, D4ST1, ATCS, EDSMC1
Ehlers-Danlos syndrome, spondylodysplastic type, 2 	B3GALT6, SEMDJL1, EDSSPD2, ALGAZ
Emery-Dreifuss muscular dystrophy 1, X-linked 	EMD, EDMD, STA
Emery-Dreifuss muscular dystrophy 2, autosomal dominant 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Emery-Dreifuss muscular dystrophy 3, autosomal recessive 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Emery-Dreifuss muscular dystrophy 4, autosomal dominant 	SYNE1, KIAA0796, KIAA1756, KIAA1262, SCAR8, EDMD4, AMC3
Emery-Dreifuss muscular dystrophy 6, X-linked 	FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B, RBMX1A, RBMX1B, FCMSU
Emery-Dreifuss muscular dystrophy 7, AD 	TMEM43, ARVD5, ARVC5, EDMD7, AUNA3
Encephalopathy due to defective mitochondrial and peroxisomal fission 2 	MFF, C2orf33, EMPF2
Encephalopathy, neonatal severe 	MECP2, RTT, PPMX, AUTSX3, MRXSL, MRXS13
Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum 	TBCD, PEBAT
Encephalopathy, progressive, with amyotrophy and optic atrophy 	TBCE, KCS, KCS1, HRD, PEAMO
Encephalopathy, progressive, with or without lipodystrophy 	BSCL2, SPG17, HMN5, PELD, HMN5C
Enlarged vestibular aqueduct, digenic 	KCNJ10, SESAME
Epidermolysis bullosa dystrophica, AR 	COL7A1, NDNC8
Epidermolysis bullosa simplex 3, localized or generalized intermediate, with bp230 deficiency 	DST, BPAG1, DMH, D6S1101, HSAN6, EBS3
Epidermolysis bullosa simplex 5A, Ogna type 	PLEC1, PLEC, PLTN, LGMDR17, EBS5A, EBS5B, EBS5C, EBS5D
Epidermolysis bullosa simplex 5B, with muscular dystrophy 	PLEC1, PLEC, PLTN, LGMDR17, EBS5A, EBS5B, EBS5C, EBS5D
Epidermolysis bullosa simplex 5C, with pyloric atresia 	PLEC1, PLEC, PLTN, LGMDR17, EBS5A, EBS5B, EBS5C, EBS5D
Epilepsy, progressive myoclonic 6 	GOSR2, GS27, EPM6
Epilepsy, rolandic, with paroxysmal exercise-induce dystonia and writer's cramp 	TBC1D24, KIAA1171, FIME, DEE16, DOORS, DFNB86, DFNA65, EPRPDC
Episodic ataxia, type 2 	CACNA1A, CACNL1A4, SCA6, DEE42
Episodic ataxia, type 5 	CACNB4, EJM6, EA5, EIG9
Episodic ataxia, type 6 	SLC1A3, EAAT1, EA6
Episodic ataxia, type 9 	SCN2A, SCN2A1, BFIC3, DEE11, BFIS3, BFNIS, EA9
Episodic ataxia/myokymia syndrome 	KCNA1, AEMK, EA1
Episodic kinesigenic dyskinesia 1 	PRRT2, PKC, DYT10, EKD1, BFIS2, BFIC2, ICCA
Episodic pain syndrome, familial, 2 	SCN10A, FEPS2
Episodic pain syndrome, familial, 3 	SCN11A, HSAN7, FEPS3
Erythermalgia, primary 	SCN9A, NENA, PN1, SFNP, HSAN2D
Erythrokeratodermia variabilis et progressiva 3 	GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP3
Escobar syndrome 	CHRNG, ACHRG
Esophageal cancer, somatic 	TGFBR2, HNPCC6, AAT3, MFS2, LDS2
Esophageal squamous cell carcinoma, somatic 	WWOX, FOR, SCAR12, DEE28
Essential tremor, hereditary, 4 	FUS, TLS, ALS6, ETM4
FG syndrome 4 	CASK, MICPCH, FGS4, CMG, MRXSNA
Fabry disease 	GLA
Fabry disease, cardiac variant 	GLA
Facioscapulohumeral muscular dystrophy 4, digenic 	DNMT3B, ICF1, FSHD4
Familial Mediterranean fever, AR 	MEFV, MEF, FMF, PAAND
Fanconi anemia, complementation group Q 	ERCC4, XPF, FANCQ, XFEPS
Farber lipogranulomatosis 	ASAH1, AC, SMAPME
Fascioscapulohumeral muscular dystrophy 2, digenic 	SMCHD1, KIAA0650, BAMS
Fatty liver, acute, of pregnancy 	HADHA, MTPA
Febrile seizures, familial, 3A 	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B
Fetal akinesia deformation sequence 1 	MUSK, CMS9, FADS1
Fetal akinesia deformation sequence 2 	RAPSN, CMS1D, CMS11, FADS2
Fetal akinesia deformation sequence 3 	DOK7, C4orf25, CMS10, FADS3
Fetal akinesia deformation sequence 4 	NUP88, FADS4
Fetal akinesia, respiratory insufficiency, microcephaly, polymicrogyria, and dysmorphic facies 	ATP1A2, FHM2, MHP2, FARIMPD, DEE98
Fibrosis of extraocular muscles, congenital, 1 	KIF21A, KIAA1708, FEOM1, CFEOM1, CFEOM3B
