Phenotype	Gene
Myasthenic syndrome, congenital, 3A, slow-channel 	CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C
Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency 	CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C
Myoclonus, familial, 2 	SCN8A, CIAT, DEE13, BFIS5, MYOCL2
Myofibromatosis, infantile 2 	NOTCH3, CADASIL1, CASIL, IMF2, LMNS
Myopathy, congenital proximal, with minicore lesions 	FXR1, MYORIBF, MYOPMIL
Myopathy, congenital, Compton-North 	CNTN1, MYPCN
Myopathy, congenital, with respiratory insufficiency and bone fractures 	FXR1, MYORIBF, MYOPMIL
Myopathy, isolated mitochondrial, autosomal dominant 	CHCHD10, FTDALS2, SMAJ, IMMD
Myopathy, scapulohumeroperoneal 	ACTA1, ASMA, NEM3, CFTD1, SHPM
Myosclerosis, congenital 	COL6A2, BTHLM1, UCMD1
Neurodevelopmental disorder with microcephaly, ataxia, and seizures 	SARS1, SARS, SERS, NEDMAS
Neuronopathy, distal hereditary motor, type VB 	REEP1, C2orf23, SPG31, HMN5B
Neuropathy, hereditary sensory and autonomic, type VI 	DST, BPAG1, DMH, D6S1101, HSAN6, EBS3
Neuropathy, inflammatory demyelinating 	PMP22, CMT1A, CMT1E, DSS, CIDP
Optic atrophy 9 	ACO2, ICRD, OPA9
Parkinsonism with spasticity, X-linked 	ATP6AP2, ATP6M8-9, XMRE, MRXSH, XPDS, CDG2R
Parkinsonism-dystonia, infantile, 2 	SLC18A2, VAT2, SVMT, PKDYS2
Peripheral neuropathy, myopathy, hoarseness, and hearing loss 	MYH14, KIAA2034, DFNA4A, PNMHH
Peroxisome biogenesis disorder 10B 	PEX3, PBD10A, PBD10B
Polymicrogyria, bilateral temporooccipital 	FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP
Pontocerebellar hypoplasia type 5 	TSEN54, SEN54, PCH2A, PCH4, PCH5
Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3 	TK2, MTDPS2, PEOB3
RHYNS syndrome 	TMEM67, MKS3, JBTS6, NPHP11
Retinal arteries, tortuosity of 	COL4A1, BSVD1, HANAC, ICH, BSVD, RATOR, PADMAL
Retinal dystrophy with inner retinal dysfunction and ganglion cell abnormalities 	ITM2B, BRI, ABRI, FBD, RDGCA
Retinitis pigmentosa 23 	OFD1, CXorf5, SGBS2, JBTS10, RP23
Seckel syndrome 8 	DNA2, DNA2L, KIAA0083, PEOA6, SCKL8
Slowed nerve conduction velocity, AD 	ARHGEF10, KIAA0294, SNCV
Spastic ataxia 4, autosomal recessive 	MTPAP, PAPD1, SPAX4
Spastic ataxia 9, autosomal recessive 	CHP1, SPAX9
Spastic paraplegia 43, autosomal recessive 	C19orf12, NBIA4, SPG43
Spastic paraplegia 44, autosomal recessive 	GJC2, GJA12, CX47, PMLDAR, HLD2, SPG44, LMPHM3
Spastic paraplegia 57, autosomal recessive 	TFG, HMSNP, SPG57
Spastic paraplegia 61, autosomal recessive 	ARL6IP1, KIAA0069, SPG61
Spastic paraplegia 72, autosomal dominant 	REEP2, C5orf19, SPG72
Spastic paraplegia 72, autosomal recessive 	REEP2, C5orf19, SPG72
Spastic paraplegia 73, autosomal dominant 	CPT1C, SPG73
Spastic paraplegia 74, autosomal recessive 	IBA57, C1orf69, MMDS3, SPG74
Spinal muscular atrophy, distal, autosomal recessive, 2 	SIGMAR1, SRBP, ALS16, DSMA2
Spinocerebellar ataxia 40 	CCDC88C, HKRP2, DAPLE, KIAA1509, HYC1, SCA40
Spinocerebellar ataxia 41 	TRPC3, TRP3, SCA41
Spinocerebellar ataxia 43 	MME, CD10, CALLA, NEP, CMT2T, SCA43
Spinocerebellar ataxia 46 	PLD3, HUK4, SCA46
Spinocerebellar ataxia, X-linked 1 	ATP2B3, PMCA3, SCAX1
Spinocerebellar ataxia, autosomal recessive 24 	UBA5, UBE1DC1, DEE44, SCAR24
Spinocerebellar ataxia, autosomal recessive 25 	ATG5, APG5, APG5L, ASP, SCAR25
Spinocerebellar ataxia, autosomal recessive 26 	XRCC1, SCAR26
Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1 	TDP1, SCAN1
Trichothiodystrophy 9, nonphotosensitive 	MARS1, MARS, MTRNS, METRS, ILLD, CMT2U, TTD9
Ullrich congenital muscular dystrophy 2 	COL12A1, UCMD2, BTHLM2, EDSMYP
Uruguay faciocardiomusculoskeletal syndrome 	FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B, RBMX1A, RBMX1B, FCMSU
Amyotrophic lateral sclerosis,  	NEFH, CMT2CC
Abetalipoproteinemia 	MTTP
Achalasia-addisonianism-alacrimia syndrome 	AAAS, AAA
Achondroplasia 	FGFR3, ACH
Acrocallosal syndrome 	KIF7, HLS2, ACLS, JBTS12, AGBK
Acyl-CoA dehydrogenase, medium chain, deficiency of 	ACADM, MCAD
Adams-Oliver syndrome 5 	NOTCH1, TAN1, AOS5, AOVD1
Adenocarcinoma of lung, somatic 	PRKN, PARK2, PDJ
Adrenoleukodystrophy 	ABCD1, ALD, AMN
Adrenomyeloneuropathy, adult 	ABCD1, ALD, AMN
Agenesis of the corpus callosum with peripheral neuropathy 	SLC12A6, KCC3A, KCC3B, KCC3, ACCPN
Aicardi-Goutieres syndrome 1, dominant and recessive 	TREX1, AGS1, CRV, HERNS, RVCLS
Aicardi-Goutieres syndrome 2 	RNASEH2B, DLEU8, FLJ11712, AGS2
Aicardi-Goutieres syndrome 3 	RNASEH2C, AYP1, FLJ20974, AGS3
Aicardi-Goutieres syndrome 5 	SAMHD1, AGS5, DCIP, CHBL2
Aicardi-Goutieres syndrome 6 	ADAR, DRADA, DSH, DSRAD, IFI4, G1P1, AGS6
Aicardi-Goutieres syndrome 7 	IFIH1, MDA5, AGS7, SGMRT1, IMD95
Aicardi-Goutieres syndrome 9 	RNU7-1, RNU7, AGS9
Al-Gazali syndrome 	B3GALT6, SEMDJL1, EDSSPD2, ALGAZ
Alagille syndrome 1 	JAG1, AGS1, AHD, DCHE, CMT2HH
Alexander disease 	GFAP, ALXDRD
Allan-Herndon-Dudley syndrome 	SLC16A2, DXS128, XPCT
Alpha-aminoadipic and alpha-ketoadipic aciduria 	DHTKD1, KIAA1630, AAKAD, CMT2Q
Alpha-methylacyl-CoA racemase deficiency 	AMACR, CBAS4, AMACRD
Alpha-thalassemia myelodysplasia syndrome, somatic 	ATRX, XH2, XNP, SHS, SFM1, MRXHF1
Alpha-thalassemia/mental retardation syndrome 	ATRX, XH2, XNP, SHS, SFM1, MRXHF1
Alternating hemiplegia of childhood 1 	ATP1A2, FHM2, MHP2, FARIMPD, DEE98
Alternating hemiplegia of childhood 2 	ATP1A3, DYT12, RDP, AHC2, CAPOS, DEE99
Alzheimer disease 1, familial 	APP, AAA, CVAP, AD1
Alzheimer disease 2 	APOE, AD2, LPG, LDLCQ5
Alzheimer disease, type 3 	PSEN1, AD3, ACNINV3
Alzheimer disease, type 3, with spastic paraparesis and apraxia 	PSEN1, AD3, ACNINV3
Alzheimer disease, type 3, with spastic paraparesis and unusual plaques 	PSEN1, AD3, ACNINV3
Alzheimer disease-4 	PSEN2, AD4, STM2, CMD1V
Amyloidosis, 3 or more types 	APOA1, HPALP2
Amyloidosis, Finnish type 	GSN
Amyloidosis, hereditary, transthyretin-related 	TTR, PALB
Amyotrophic lateral sclerosis 1 	SOD1, ALS1, STAHP
Amyotrophic lateral sclerosis 10, with or without FTD 	TARDBP, TDP43, ALS10
Amyotrophic lateral sclerosis 11 	FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP
Amyotrophic lateral sclerosis 12 with or without frontotemporal dementia 	OPTN, GLC1E, FIP2, HYPL, NRP, ALS12
Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia 	UBQLN2, PLIC2, CHAP1, ALS15
Amyotrophic lateral sclerosis 18 	PFN1, ALS18
Amyotrophic lateral sclerosis 19 	ERBB4, HER4, ALS19
Amyotrophic lateral sclerosis 2, juvenile 	ALS2, ALSJ, PLSJ, IAHSP
Amyotrophic lateral sclerosis 20 	HNRNPA1, IBMPFD3, ALS20
Amyotrophic lateral sclerosis 21 	MATR3, MPD2, ALS21
Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia 	TUBA4A, TUBA1, ALS22
Amyotrophic lateral sclerosis 23 	ANXA11, ANX11, ALS23, IBMWMA
Amyotrophic lateral sclerosis 26 with or without frontotemporal dementia 	TIA1, WDM, ALS26
Amyotrophic lateral sclerosis 4, juvenile 	SETX, SCAN2, AOA2, ALS4
Amyotrophic lateral sclerosis 5, juvenile 	SPG11, KIAA1840, FLJ21439, ALS5, CMT2X
Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia 	FUS, TLS, ALS6, ETM4
Amyotrophic lateral sclerosis 8 	VAPBC, VAPB, VAPC, ALS8
Amyotrophic lateral sclerosis 9 	ANG, RNASE5, ALS9
Andersen syndrome 	KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9
Androgen insensitivity 	AR, DHTR, TFM, SBMA, KD, SMAX1, HYSP1
Androgen insensitivity, partial, with or without breast cancer 	AR, DHTR, TFM, SBMA, KD, SMAX1, HYSP1
Anemia, sideroblastic, 3, pyridoxine-refractory 	GLRX5, C14orf87, PRO1238, FLB4739, PRSA, SIDBA3, SPAHGC
Anemia, sideroblastic, with ataxia 	ABCB7, ABC7, ASAT
Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps 	COL4A1, BSVD1, HANAC, ICH, BSVD, RATOR, PADMAL
Aniridia 	PAX6, AN2, MGDA, FVH1, ASGD5
Anterior segment dysgenesis 5, multiple subtypes 	PAX6, AN2, MGDA, FVH1, ASGD5
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis 	POR
Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Aortic aneurysm, familial thoracic 4 	MYH11, AAT4, FAA4, VSCM2
Aortic aneurysm, familial thoracic 6 	ACTA2, ACTSA, AAT6, MYMY5
Aortic aneurysm, familial thoracic 7 	MYLK, MLCK, AAT7, MMIHS1
Aortic valve disease 1 	NOTCH1, TAN1, AOS5, AOVD1
Apert syndrome 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Aphasia, primary progressive 	GRN, CLN11
Argininemia 	ARG1
Aromatic L-amino acid decarboxylase deficiency 	DDC
Arrhythmogenic right ventricular dysplasia 1 	TGFB3, ARVD1, RNHF, LDS5
Arrhythmogenic right ventricular dysplasia 5 	TMEM43, ARVD5, ARVC5, EDMD7, AUNA3
Arthrogryposis multiplex congenita 1, neurogenic, with myelin defect 	LGI4, AMC1
Arthrogryposis multiplex congenita 3, myogenic type 	SYNE1, KIAA0796, KIAA1756, KIAA1262, SCAR8, EDMD4, AMC3
Arthrogryposis multiplex congenita 4, neurogenic, with agenesis of the corpus callosum 	SCYL2, CVAK104, KIAA1360, AMC4
Arthrogryposis multiplex congenita 5 	TOR1A, DYT1, AMC5
Arthrogryposis multiplex congenita 6 	NEB, NEM2, AMC6
Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development 	PPP3CA, PPP2B, CALNA, CNA1, DEE91, ACCIID
Arthrogryposis, distal, type 1A 	TPM2, TMSB, AMCD1, DA1, DA2B4, NEM4
Arthrogryposis, distal, type 1B 	MYBPC1, LCCS4, MYOTREM
Arthrogryposis, distal, type 1C 	MYL11, MLC2B, MRLC2, MYLPF, DA1C
Arthrogryposis, distal, type 2B1 	TNNI2, AMCD2B, DA2B1, FSSV
Arthrogryposis, distal, type 2B2 	TNNT3, AMCD2B, DA2B2, FSSV
Arthrogryposis, distal, type 2B4 	TPM2, TMSB, AMCD1, DA1, DA2B4, NEM4
Arthrogryposis, distal, type 3 	PIEZO2, FAM38B, DA5, DA3, MWKS, DAIPT
Arthrogryposis, distal, type 5 	PIEZO2, FAM38B, DA5, DA3, MWKS, DAIPT
Arthrogryposis, distal, type 5D 	ECEL1, XCE, DA5D
Arthrogryposis, distal, with impaired proprioception and touch 	PIEZO2, FAM38B, DA5, DA3, MWKS, DAIPT
Arthrogryposis, impaired intellectual development, and seizures 	SLC35A3, AMRS
Arthrogryposis, renal dysfunction, and cholestasis 1 	VPS33B
Arthrogryposis, renal dysfunction, and cholestasis 2 	VIPAS39, VIPAR, SPE39, C14orf133
Arts syndrome 	PRPS1, CMTX5, DFNX1, DFN2
Ataxia with isolated vitamin E deficiency 	TTPA, TTP1, AVED
Ataxia, cerebellar, Cayman type 	ATCAY, CLAC, KIAA1872
Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia 	APTX, AOA, AOA1
Ataxia, intention tremor, and hypotonia syndrome, childhood-onset 	POU4F1, BRN3A, ATITHS
Ataxia, posterior column, with retinitis pigmentosa 	FLVCR1, AXPC1, PCARP
Ataxia, sensory, 1, autosomal dominant 	RNF170, SNAX1, SPG85
Ataxia-oculomotor apraxia 4 	PNKP, PNK, MCSZ, AOA4, CMT2B2
Ataxia-pancytopenia syndrome 	SAMD9L, ATXPC, M7MLS1, SCA49
Ataxia-telangiectasia 	ATM, ATA, AT1
Ataxia-telangiectasia-like disorder 1 	MRE11A, MRE11, ATLD
Atelosteogenesis, type I 	FLNB, SCT, AOI, LRS1
Atelosteogenesis, type III 	FLNB, SCT, AOI, LRS1
Atrial fibrillation, familial, 9 	KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9
Atrial septal defect 5 	ACTC1, CMD1R, CMH11, ASD5, LVNC4
Atrioventricular septal defect 3 	GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP3
Auditory neuropathy, autosomal dominant 3 	TMEM43, ARVD5, ARVC5, EDMD7, AUNA3
Baker-Gordon syndrome 	SYT1, BAGOS
